title,author,description,link,platform(s),pg,example_download_link
The Land of Glass,Dual Wield Software,"Choose your heroes, build your deck, and save Vitrerran.",https://dual-wield-software.itch.io/the-land-of-glass,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Ecchi Sketch: Draw Cute Girls Every Day! (All Ages Ver),NewWestGames,Cute lesbian fun in Ecchi Sketch: Draw Cute Girls Every Day!,https://newwestgames.itch.io/ecchi-sketch-draw-cute-girls-every-day-all-ages-ver,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Sweet Volley High (All Ages ver),NewWestGames,A LGBT branching path love story.,https://newwestgames.itch.io/sweet-volley-high-all-ages-ver,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
AIdol,ebi-hime,A fangirl helps her much-beloved idol find her missing programmer.,https://ebihime.itch.io/aidol,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
HellStar Squadron,Cosmic Crystal Games,Embark on an adventure through space with the ferocious HELLSTAR SQUADRON.,https://cosmiccrystal.itch.io/hellstar-squadron,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
"I'm Bored, Let's Explore (Mall)",thatguynm,A short game about hanging out and wandering a mall,https://thatguynm.itch.io/explore-mall,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
No cortarás a tu hermana con el filo de esta espada,TwineDoctors,Viaja por la ciudad reclutando bandas para vencer a la invasión.,https://twinedoctors.itch.io/no-cortars-a-tu-hermana-con-el-filo-de-esta-espada,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Nonsense at Nightfall,Siegfried Croes,One night you can't sleep and decide to take a sleeping pill. What happens next is unexpected...,https://siegfriedcroes.itch.io/nonsense-at-nightfall,"Windows, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
WATER'S FINE,owch,come on in,https://owch.itch.io/watersfine,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Bleed 2,BootdiskRevolution,"A relentless arcade action game with air-dodging, bullet-reflecting, and tons of bosses.",https://bootdiskrevolution.itch.io/bleed-2,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Live Hot Bugs (Waiting for YOU on Proxima Centauri b!!),Lily Reeves,A speculative mini-comic about making sexy bugs for the good of humanity.,https://plantfather.itch.io/live-hot-bugs,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Into The Mist 2: The Cult,TheOtherGuy,A fps horror game with killer cultists.,https://evilrick.itch.io/into-the-mist-2-the-cult,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Sanguine Sanctum,Modus Interactive,It desires more. Feed It. Nourish It.,https://modus-interactive.itch.io/sanguine-sanctum,"Windows, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Dirty Aces,"Ben ""Bee"" Scerri, Red World Press","Win or Lose Together. Touchstones: Firefly, The Dark Tower.",https://redworldpress.itch.io/dirty-aces,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Sprite Pack - Fantasy Male Mage,Red-Baby,"Luka, the mystical mage",https://red-baby.itch.io/sprite-pack-fantasy-male-mage,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Verdant Skies,HowlingMoonSoftware,Ensure the success of your colony as you make friends and pursue romance with a diverse cast of characters.,https://howlingmoonsoftware.itch.io/verdant-skies,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Pixel Plebes Digital Card Deck,Greebles,Artistic themed Poker deck for your games.,https://greebles.itch.io/pixel-plebes,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Escort Yourself Out,Violet Elder,"a game about trauma, triggers, and self-compassion",https://violet-elder.itch.io/escort-yourself-out,"Windows, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Elephant Hunter Hunter,balmut,Stop hunters hunting elephants!,https://balmut.itch.io/elephant-hunter-hunter,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Hot Pot Panic,keanerie,"Cook, eat, converse! A game about eating hot pot and awkward conversations.",https://keanerie.itch.io/hot-pot-panic,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Luna,Funomena,A game about forgiveness,https://funomena.itch.io/luna,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Widget Satchel,Noble Robot,Get widgets. Build doohickeys. Do mischief.,https://noblerobot.itch.io/widget-satchel,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Giant's Chalice,A.V. Knights,Explore and battle monsters in a magical world,https://avknights.itch.io/giants-chalice,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Flewberry,Alex Garbus,Adopt a Birb and help it reach new heights!,https://alexgarbus.itch.io/flewberry,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
A Wish Upon A Star,Fabian Denter,An isometric puzzle game about a child's biggest wish.,https://fabiandenter.itch.io/wish-upon-a-star,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Hunter's Moon Remastered,Thalamus Digital Publishing Ltd.,The official 30th anniversary remastered edition of the classic C64 shoot 'em up.,https://thalamusdigital.itch.io/hunters-moon-remastered,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Pixel Art Medieval Fantasy Characters Pack,CleanCutGames,Pack of high-quality fantasy pixel art characters.,https://cleancutgames.itch.io/pixelart-fantasy-characters,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
The Testimony of Trixie Glimmer Smith,Digital Poppy,Trixie Glimmer Smith finds a haunted book. Hijinks ensue.,https://digital-poppy.itch.io/trixie,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Brassica - A Marry Tale,Boys Laugh +,A fairy tale about political marriages and gay alternatives,https://boyslaughplus.itch.io/brassica-a-marry-tale,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Color Jumper,Tallbeard Studios,"An abstract, color-based puzzle platformer.",https://tallbeard.itch.io/color-jumper,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Lil' Dragon - Pixel Art Tileset,Raou,Top Down tileset inspired by old RPGs,https://raou.itch.io/topdown-rpg-pixel-art-tileset,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
The Subject,DarkStone Digital,You are the subject of a strange experiment out in deep space.,https://darkstonedigital.itch.io/thesubject,"Windows, Linux",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Run Jump Fail,Luke O'Connor,"Totally accurate running, jumping, and failing simulator",https://lukeoc.itch.io/run-jump-fail,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Sprite Pack - Fantasy Female Mage,Red-Baby,"Lana, the sassy sorceress",https://red-baby.itch.io/sprite-pack-fantasy-female-mage,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
The Stillness of the Wind,Fellow Traveller,A quiet game of life and loss.,https://fellowtraveller.itch.io/the-stillness-of-the-wind,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Lingotopia,Tristan Dahl,Explore a city and learn a real language,https://tristan-dahl.itch.io/lingotopia,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
10S,owch,lift the veil,https://owch.itch.io/10s,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Dungeons of Loot,Luke Parker,"No Fight, Only Loot!",https://lparkermg.itch.io/dungeons-of-loot,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Top-Down - Interior Tileset,Raou,A versatile interior tileset for your top-down game,https://raou.itch.io/top-down-interior-tileset,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Headspun: Dazed Edition,SUPERSTRING,An FMV/Adventure hybrid set in the human brain,https://svperstring.itch.io/headspun-dazed-edition,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Apple Quest Monsters DX,splendidland,A collection of 80+ monsters from an RPG that doesn't exist.,https://splendidland.itch.io/apple-quest-monsters-dx,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Dungeon Tileset - Top Down RPG,Raou,A pixel art dungeon tileset.,https://raou.itch.io/dungeon-tileset-top-down-rpg,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
"I'm Bored, Let's Explore (Ruins)",thatguynm,A short game about hanging out and wandering around an ancient building.,https://thatguynm.itch.io/im-bored-lets-explore-ruins,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Plana Gravatatis,cyvet,,https://cyvet.itch.io/plana-gravatatis,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Moon Child & Sun Knight,sakevisual,"A novel about dragons, magic, and finding yourself.",https://sakevisual.itch.io/moon-child,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
The Rainsdowne Players,Steve O'Gorman,A creativity-driven RPG about a rundown theatre and pleasing its unruly clientele.,https://rainsdowne.itch.io/the-rainsdowne-players,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Blast Rush,Bipedal Dog,The infinite-bomb shoot-em-up,https://bipedaldog.itch.io/bak,Android,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
"Wakamarina Valley, New Zealand",caves rd,Atmospheric Photography Simulator set in a riverside forest area of New Zealand,https://cavesrd.itch.io/newzealand,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Fidelity,megamini009,"An atmospheric puzzle game based around losing touch with reality,",https://megamini009.itch.io/fidelity,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Rebop Blasters,dean_sick,An overpowered platform fighter with destructible terrain and a procedurally generated jazz soundtrack.,https://dean-sick.itch.io/rebop-blasters,"Windows, Linux, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
A Lullaby of Colors (now available for Oculus Quest too),andyman404,A blissful psychedelic relaxation experience,https://andyman404.itch.io/lullaby-of-colors,"Windows, macOS, Android",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
ART SQOOL,Glanderco,~*LET'S DRAW*~,https://glander.itch.io/art-sqool,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Antigas Constelações (sobre a Vila Itororó),Menotti,marginalized heritage as blazing celestial bodies - a VR experience,https://menotti.itch.io/vilaitororo,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
fractured starlight,somestrangecircus,,https://somestrangecircus.itch.io/fractured-starlight,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Tiny Adventure Pack Plus,Vryell,Asset pack for game development.,https://vryell.itch.io/tiny-adventure-pack-plus,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Outpost Horizon Station,oldmanofthefire,Bullet-hell platformer on a rotating 360° platform,https://oldmanofthefire.itch.io/outpost-horizon-station,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Sewer Rave,Autumn Rain,PARTY WITH RATS,https://slitherpunk.itch.io/sewer-rave,"Windows, Linux, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
BAKED:MAGIC,Red-Baby,Baking with lesbian witches,https://red-baby.itch.io/bakedmagic,"Windows, Linux, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Phoenix Heavy,Extrone,Space-Y's Peonix Heavy Training Program,https://extrone.itch.io/pheonix-heavy,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Mech_Romancer Charity Bundle 1,Silentman,,https://silentman.itch.io/mech-romancer-charity-bundle-1,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
In The Light Of A Ghost Star,Highland Paranormal Society,Explore the dark remnants of ancient Earth,https://natetreme.itch.io/itloags,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
64px Textures/Tilesheet,thatguynm,a 64px texture set perfect for 3d games!,https://thatguynm.itch.io/pixelated-textures,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Laser Paddles,tracfacsam,Pong with lasers and power ups and explosions.,https://tracfacsam.itch.io/laserpaddles,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
reky,beyondthosehills,Minimalistic logic challenges,https://beyondthosehills.itch.io/reky,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Otherside,Ben Lapid,trippy sci-fi thriller,https://benlap.itch.io/otherside,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
The Ground Itself,Everest Pipkin,A tabletop world-building game about places over time,https://everestpipkin.itch.io/the-ground-itself,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Changeling,Steamberry Studio,Mystery and romance ensue when our MC is unwittingly drawn into a dangerous paranormal community,https://steamberry.itch.io/changeling,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
As The World Ends...,Allie Bustion/Mad Pierrot Games,a GM-optional tabletop roleplaying game,https://madpierrot.itch.io/as-the-world-ends,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
DON'T WAKE THE NIGHT,brujeriaatwerk,"Beware, stranger",https://brujeriaatwerk.itch.io/dont-wake-the-night,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Brave Hero Yuusha EX,torch60,Let's put the story back together... again!,https://torch60.itch.io/brave-hero-yuusha-ex,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Astrologaster,Nyamyam,A comedy written in the stars,https://nyamyam.itch.io/astrologaster,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Qavo,Masen Sodki,Solve your way through twenty lethal sliding block puzzles,https://masensodki.itch.io/qavo,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Low Poly 3D City Builder,DevilsWork.shop,Royalty free 3D Assets Games for Commercial and Non-Commercial Use.,https://devilsworkshop.itch.io/low-poly-3d-city-builder-devilsworkshop,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
The Way You Make Me Feel,Allie Bustion/Mad Pierrot Games,"A GM-less tabletop game about relationships, sexuality, and their perceptions",https://madpierrot.itch.io/the-way-you-make-me-feel,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Retromancer,Spinfoam Games,"A frantic, fantasy themed twin-stick shooter",https://spinfoam-games.itch.io/retromancer,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Kaiju Big Battel: Fighto Fantasy,Super Walrus Games,"Travel through time with big, punchy monsters in this 16-bit style RPG!",https://super-walrus-games.itch.io/kaiju-big-battel-fighto-fantasy,"Windows, Linux",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
He Plays the Piano,Sebastian Scaini,Play the piano.,https://sebastianscaini.itch.io/he-plays-the-piano,"Windows, Linux, Android",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Try,JohnLee Cooper,"You can't always get what you want, but you can try.",https://ergman.itch.io/try,,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Taco Tom 2,tininsteelian,A game about tacos and love. And cannibalism.,https://tinzonegames.itch.io/tacotom2,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Super Sellout,Whales And Games,Hero duty for super profit!,https://whalesandgames.itch.io/super-sellout,"Windows, Linux, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
CanariPack 1BIT TopDown,Canari Games,"1BIT 16x16 Tileset, Animated Sprites, Music and SFX for your game project!",https://canarigames.itch.io/canaripack-1bit-topdown,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
CanariPack 8BIT TopDown,Canari Games,"8/16BIT 16x16 Tileset, Animated Sprites, Music and SFX for your game project!",https://canarigames.itch.io/canaripack-8bit-topdown,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Location Withheld,Bryce Bucher,A short horror in which you find yourself in an unfamiliar office...,https://bryce-bucher.itch.io/location-withheld,"Windows, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Escape from Life Inc,PowerBurger,A quirky platformer with a capturing story (literally!),https://speedframe.itch.io/life-inc,"Windows, Linux",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
SYSCRUSHER,DirigoGames,"Sci-fi first person shooter.  The system is corrupt, a human touch is needed",https://dirigogames.itch.io/syscrusher,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Double Cross,Graffiti_Games,"Explore alternate dimensions, fight interdimensional criminals, and solve crimes in this thrilling action platformer!",https://graffiti-games.itch.io/double-cross,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Tome of Rites and Rituals - Volume 1,Fenreliania,A roleplaying aid filled with fictional spells for every need.,https://fenreliania.itch.io/rites-and-rituals-1,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Ghost Grab 3000,Matt Glanville,Chain ghosts together then pop them all at once for points in an endless 'bullet hell' arcade apocalypse!,https://crowbarska.itch.io/ghost-grab-3000,"Windows, Linux, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Antistatic,bluehexagons,An uncompromising platform fighter,https://bluehexagons.itch.io/antistatic,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Space Duet™,Matthew Alan Estock,Duel in space with friends,https://mattyalanestock.itch.io/spaceduet,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Pin Puck,PatDavisGames,Multiplayer ice hockey inspired mayhem,https://patdavisgames.itch.io/pin-puck,"Windows, Linux, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
FutureGrind,Milkbag Games,Nail the perfect line in the future's most challenging stunt sport!,https://milkbaggames.itch.io/futuregrind,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
The Dark by Eric Koziol,Eric Koziol,What you can't see will hurt you.,https://revenantkioku.itch.io/the-dark,"Windows, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Daemon Detective Racing Zero,Yal,Penguin party racing at mach 2,https://yaru.itch.io/daemon-detective-racing-zero,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
HexaCycle,aBigThinkGames,Procedurally generated logic puzzle game,https://abigthinkgames.itch.io/hexacycle,"Windows, Linux, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Danger Zone Friends,Alex Higgins,Grocery Run JRPG,https://alchiggins.itch.io/danger-zone-friends,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Feud,Bearwaves,Turn-based abstract strategy game.,https://bearwaves.itch.io/feud,"Windows, Linux, macOS, Android",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
BulletHell Planes,Gijs Westerdijk,Shoot your way through the enemy lines in hyperpowered aircraft!!!,https://gissasmooth.itch.io/bullethell-planes,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Hermit the sluggish caterpillar of the sea,Sharped Stone Studios,Hermit the lone sluggish caterpillar of the Sea is fighting for his new home.,https://sharpedstonestudios.itch.io/hermit-the-sea-caterpillar,"Windows, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Codemancer,Important Little Games,Programming is Magic,https://importantlittlegames.itch.io/codemancer-ch-1,"Windows, macOS, Android",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Fantom Feast,prettysmart,Help Fantom eat enemies and grow big and strong!,https://prettysmart.itch.io/fantom-feast,Windows,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Test Tube Titans,Ghost Time Games,Create and Destroy,https://ghosttime.itch.io/test-tube-titans,"Windows, Linux, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
DEATH OF A HERO,babblegumsam,A conversational rpg about an adventuring party grieving a dead member.,https://babblegumsam.itch.io/death-of-a-hero,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
The Importance of Being Convergent,Xavid,"A Convergence of the elements reshapes society, allowing the caste hierarchy to be realigned!",https://xavid.itch.io/convergent,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
ANTological Theory,Adira Slattery,A tabletop game of Arguing Ant Philosophers,https://adira.itch.io/antological-theory,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Journey Away,Purple Aether Games Jacob S Kellogg,A non-challenge-based fantasy roleplaying game,https://purpleaether.itch.io/journey-away,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
ECH0,Role Over Play Dead,Peace. Kids playing in mech wreckage. A ghost. One last journey to find a final resting place.,https://roleoverplaydead.itch.io/ech0,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
The Gateshead Engine,Adam Roy,A one-player Steampunk RPG about building a dangerous machine,https://adnroy.itch.io/the-gateshead-engine,,11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Vignettes,Skeleton Business,Toyish surprise-o-rama,https://skeletonbiz.itch.io/vignettes,"Windows, macOS",11,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=11
Fall Diary,Lily Reeves,Diary comic collection.,https://plantfather.itch.io/fall-diary,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
A Long Night In The Mech Bay,Nested Games,A 2 Player TTRPG about Relationships Reforged in Conflict,https://nestedgames.itch.io/a-long-night-in-the-mech-bay,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
The King's Bird,Graffiti_Games,,https://graffiti-games.itch.io/the-kings-bird,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Better to Upload Two Souls,Tokaint,"Youtuber themed, 2.5D horror game about clones & content farming",https://tokaint.itch.io/better-to-upload-2,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
There Will Be Ink,summitfever,"Stick figure armies battling in a notebook, just like you used to draw in class instead of paying attention!",https://summitfever.itch.io/there-will-be-ink,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
